,lambda_sparsity,lambda_TV,entropy,TSV,cross_val_score
54,1e-06,1e-08,0.0003727593720314938,0.0003727593720314938,9.974302417938501
55,1e-06,1e-08,0.0003727593720314938,0.001,10.695696208698873
56,1e-06,1e-08,0.001,1e-06,17.806768000800506
57,1e-06,1e-08,0.001,2.6826957952797274e-06,17.773226666452906
58,1e-06,1e-08,0.001,7.196856730011514e-06,17.70166814321872
59,1e-06,1e-08,0.001,1.9306977288832496e-05,17.575741692778507
60,1e-06,1e-08,0.001,5.1794746792312125e-05,17.411209393740133
61,1e-06,1e-08,0.001,0.00013894954943731373,17.302858780109965
62,1e-06,1e-08,0.001,0.0003727593720314938,17.46674103146465
63,1e-06,1e-08,0.001,0.001,18.23962767470652
64,1e-06,2.1544346900318822e-07,1e-06,1e-06,84.17319840862827
65,1e-06,2.1544346900318822e-07,1e-06,2.6826957952797274e-06,69.68346819050318
66,1e-06,2.1544346900318822e-07,1e-06,7.196856730011514e-06,55.31557324238592
67,1e-06,2.1544346900318822e-07,1e-06,1.9306977288832496e-05,43.16083058135185
68,1e-06,2.1544346900318822e-07,1e-06,5.1794746792312125e-05,33.253795918336394
69,1e-06,2.1544346900318822e-07,1e-06,0.00013894954943731373,27.820298592396
70,1e-06,2.1544346900318822e-07,1e-06,0.0003727593720314938,28.57945646066187
71,1e-06,2.1544346900318822e-07,1e-06,0.001,36.001239718121056
72,1e-06,2.1544346900318822e-07,2.6826957952797274e-06,1e-06,58.29242218475762
73,1e-06,2.1544346900318822e-07,2.6826957952797274e-06,2.6826957952797274e-06,49.937963651025356
74,1e-06,2.1544346900318822e-07,2.6826957952797274e-06,7.196856730011514e-06,40.7333226873507
75,1e-06,2.1544346900318822e-07,2.6826957952797274e-06,1.9306977288832496e-05,32.462658070278096
76,1e-06,2.1544346900318822e-07,2.6826957952797274e-06,5.1794746792312125e-05,25.817212568426463
77,1e-06,2.1544346900318822e-07,2.6826957952797274e-06,0.00013894954943731373,22.19548667129378
78,1e-06,2.1544346900318822e-07,2.6826957952797274e-06,0.0003727593720314938,23.45575833737466
79,1e-06,2.1544346900318822e-07,2.6826957952797274e-06,0.001,30.32056951842483
80,1e-06,2.1544346900318822e-07,7.196856730011514e-06,1e-06,33.29870993456913
81,1e-06,2.1544346900318822e-07,7.196856730011514e-06,2.6826957952797274e-06,29.70313050360207
82,1e-06,2.1544346900318822e-07,7.196856730011514e-06,7.196856730011514e-06,25.432717589886654
83,1e-06,2.1544346900318822e-07,7.196856730011514e-06,1.9306977288832496e-05,21.434959949307725
84,1e-06,2.1544346900318822e-07,7.196856730011514e-06,5.1794746792312125e-05,17.885049077107844
85,1e-06,2.1544346900318822e-07,7.196856730011514e-06,0.00013894954943731373,16.007938160948484
86,1e-06,2.1544346900318822e-07,7.196856730011514e-06,0.0003727593720314938,17.143972156362487
87,1e-06,2.1544346900318822e-07,7.196856730011514e-06,0.001,22.597068996091117
88,1e-06,2.1544346900318822e-07,1.9306977288832496e-05,1e-06,17.859396849457358
89,1e-06,2.1544346900318822e-07,1.9306977288832496e-05,2.6826957952797274e-06,16.792813790218055
90,1e-06,2.1544346900318822e-07,1.9306977288832496e-05,7.196856730011514e-06,15.329906607198083
91,1e-06,2.1544346900318822e-07,1.9306977288832496e-05,1.9306977288832496e-05,13.79275571154601
92,1e-06,2.1544346900318822e-07,1.9306977288832496e-05,5.1794746792312125e-05,12.260655673891817
93,1e-06,2.1544346900318822e-07,1.9306977288832496e-05,0.00013894954943731373,11.623464908422129
94,1e-06,2.1544346900318822e-07,1.9306977288832496e-05,0.0003727593720314938,12.458703800417789
95,1e-06,2.1544346900318822e-07,1.9306977288832496e-05,0.001,15.74388186875385
96,1e-06,2.1544346900318822e-07,5.1794746792312125e-05,1e-06,11.776984168840169
97,1e-06,2.1544346900318822e-07,5.1794746792312125e-05,2.6826957952797274e-06,11.462811116892604
98,1e-06,2.1544346900318822e-07,5.1794746792312125e-05,7.196856730011514e-06,10.943073257649267
99,1e-06,2.1544346900318822e-07,5.1794746792312125e-05,1.9306977288832496e-05,10.369034685335475
100,1e-06,2.1544346900318822e-07,5.1794746792312125e-05,5.1794746792312125e-05,9.907288804261132
101,1e-06,2.1544346900318822e-07,5.1794746792312125e-05,0.00013894954943731373,9.739731261878818
102,1e-06,2.1544346900318822e-07,5.1794746792312125e-05,0.0003727593720314938,10.190265699608563
103,1e-06,2.1544346900318822e-07,5.1794746792312125e-05,0.001,11.876882978253292
104,1e-06,2.1544346900318822e-07,0.00013894954943731373,1e-06,9.930655058150986
105,1e-06,2.1544346900318822e-07,0.00013894954943731373,2.6826957952797274e-06,9.791538091396916
106,1e-06,2.1544346900318822e-07,0.00013894954943731373,7.196856730011514e-06,9.574014408498169
107,1e-06,2.1544346900318822e-07,0.00013894954943731373,1.9306977288832496e-05,9.354543494389043
108,1e-06,2.1544346900318822e-07,0.00013894954943731373,5.1794746792312125e-05,9.185719808748596
109,1e-06,2.1544346900318822e-07,0.00013894954943731373,0.00013894954943731373,9.122646849445669
110,1e-06,2.1544346900318822e-07,0.00013894954943731373,0.0003727593720314938,9.35183534455718
111,1e-06,2.1544346900318822e-07,0.00013894954943731373,0.001,10.286659184836116
112,1e-06,2.1544346900318822e-07,0.0003727593720314938,1e-06,10.265806498202984
113,1e-06,2.1544346900318822e-07,0.0003727593720314938,2.6826957952797274e-06,10.19456075805326
114,1e-06,2.1544346900318822e-07,0.0003727593720314938,7.196856730011514e-06,10.074386688091563
115,1e-06,2.1544346900318822e-07,0.0003727593720314938,1.9306977288832496e-05,9.937514031898441
116,1e-06,2.1544346900318822e-07,0.0003727593720314938,5.1794746792312125e-05,9.824512126957323
117,1e-06,2.1544346900318822e-07,0.0003727593720314938,0.00013894954943731373,9.782902519149854
118,1e-06,2.1544346900318822e-07,0.0003727593720314938,0.0003727593720314938,9.973817639412797
119,1e-06,2.1544346900318822e-07,0.0003727593720314938,0.001,10.695434743004014
120,1e-06,2.1544346900318822e-07,0.001,1e-06,17.805021678658917
121,1e-06,2.1544346900318822e-07,0.001,2.6826957952797274e-06,17.771540227302296
122,1e-06,2.1544346900318822e-07,0.001,7.196856730011514e-06,17.70009888861468
123,1e-06,2.1544346900318822e-07,0.001,1.9306977288832496e-05,17.574350363714686
124,1e-06,2.1544346900318822e-07,0.001,5.1794746792312125e-05,17.41015652254283
125,1e-06,2.1544346900318822e-07,0.001,0.00013894954943731373,17.30225627418627
126,1e-06,2.1544346900318822e-07,0.001,0.0003727593720314938,17.466561250310185
127,1e-06,2.1544346900318822e-07,0.001,0.001,18.2396522990835
128,1e-06,4.641588833612773e-06,1e-06,1e-06,64.74569879969648
129,1e-06,4.641588833612773e-06,1e-06,2.6826957952797274e-06,57.781480124622824
130,1e-06,4.641588833612773e-06,1e-06,7.196856730011514e-06,49.22489440607896
131,1e-06,4.641588833612773e-06,1e-06,1.9306977288832496e-05,40.20216962165278
132,1e-06,4.641588833612773e-06,1e-06,5.1794746792312125e-05,31.84428430392662
133,1e-06,4.641588833612773e-06,1e-06,0.00013894954943731373,27.126272642900535
134,1e-06,4.641588833612773e-06,1e-06,0.0003727593720314938,28.147413164540005
135,1e-06,4.641588833612773e-06,1e-06,0.001,35.64889802096831
136,1e-06,4.641588833612773e-06,2.6826957952797274e-06,1e-06,46.606015698600835
137,1e-06,4.641588833612773e-06,2.6826957952797274e-06,2.6826957952797274e-06,42.30715365415762
138,1e-06,4.641588833612773e-06,2.6826957952797274e-06,7.196856730011514e-06,36.67969720538469
139,1e-06,4.641588833612773e-06,2.6826957952797274e-06,1.9306977288832496e-05,30.382883235951873
140,1e-06,4.641588833612773e-06,2.6826957952797274e-06,5.1794746792312125e-05,24.791059580918507
141,1e-06,4.641588833612773e-06,2.6826957952797274e-06,0.00013894954943731373,21.707451140791456
142,1e-06,4.641588833612773e-06,2.6826957952797274e-06,0.0003727593720314938,23.154319550732993
143,1e-06,4.641588833612773e-06,2.6826957952797274e-06,0.001,30.038847022068087
144,1e-06,4.641588833612773e-06,7.196856730011514e-06,1e-06,28.270136322619607
145,1e-06,4.641588833612773e-06,7.196856730011514e-06,2.6826957952797274e-06,26.212921072815206
146,1e-06,4.641588833612773e-06,7.196856730011514e-06,7.196856730011514e-06,23.381510542817445
147,1e-06,4.641588833612773e-06,7.196856730011514e-06,1.9306977288832496e-05,20.333286383688034
148,1e-06,4.641588833612773e-06,7.196856730011514e-06,5.1794746792312125e-05,17.363911918918987
149,1e-06,4.641588833612773e-06,7.196856730011514e-06,0.00013894954943731373,15.763626003739272
150,1e-06,4.641588833612773e-06,7.196856730011514e-06,0.0003727593720314938,17.012364252713756
151,1e-06,4.641588833612773e-06,7.196856730011514e-06,0.001,22.454381172048997
152,1e-06,4.641588833612773e-06,1.9306977288832496e-05,1e-06,16.337236334976076
153,1e-06,4.641588833612773e-06,1.9306977288832496e-05,2.6826957952797274e-06,15.629176092203279
154,1e-06,4.641588833612773e-06,1.9306977288832496e-05,7.196856730011514e-06,14.519036854936818
155,1e-06,4.641588833612773e-06,1.9306977288832496e-05,1.9306977288832496e-05,13.30106437072808
156,1e-06,4.641588833612773e-06,1.9306977288832496e-05,5.1794746792312125e-05,12.016263956743208
157,1e-06,4.641588833612773e-06,1.9306977288832496e-05,0.00013894954943731373,11.53263453404726
158,1e-06,4.641588833612773e-06,1.9306977288832496e-05,0.0003727593720314938,12.390894234664943
159,1e-06,4.641588833612773e-06,1.9306977288832496e-05,0.001,15.683783586113808
160,1e-06,4.641588833612773e-06,5.1794746792312125e-05,1e-06,11.332971903694023
161,1e-06,4.641588833612773e-06,5.1794746792312125e-05,2.6826957952797274e-06,11.089312585532587
162,1e-06,4.641588833612773e-06,5.1794746792312125e-05,7.196856730011514e-06,10.684605929339458
163,1e-06,4.641588833612773e-06,5.1794746792312125e-05,1.9306977288832496e-05,10.219270524043184
164,1e-06,4.641588833612773e-06,5.1794746792312125e-05,5.1794746792312125e-05,9.82238932299168
165,1e-06,4.641588833612773e-06,5.1794746792312125e-05,0.00013894954943731373,9.69393583682617
166,1e-06,4.641588833612773e-06,5.1794746792312125e-05,0.0003727593720314938,10.164769343600666
167,1e-06,4.641588833612773e-06,5.1794746792312125e-05,0.001,11.85480570066408
168,1e-06,4.641588833612773e-06,0.00013894954943731373,1e-06,9.768830401004045
169,1e-06,4.641588833612773e-06,0.00013894954943731373,2.6826957952797274e-06,9.655426858241336
170,1e-06,4.641588833612773e-06,0.00013894954943731373,7.196856730011514e-06,9.474286057478972
171,1e-06,4.641588833612773e-06,0.00013894954943731373,1.9306977288832496e-05,9.287411045736944
172,1e-06,4.641588833612773e-06,0.00013894954943731373,5.1794746792312125e-05,9.13847094231522
173,1e-06,4.641588833612773e-06,0.00013894954943731373,0.00013894954943731373,9.09433389639439
174,1e-06,4.641588833612773e-06,0.00013894954943731373,0.0003727593720314938,9.333903480331925
175,1e-06,4.641588833612773e-06,0.00013894954943731373,0.001,10.273756879721002
176,1e-06,4.641588833612773e-06,0.0003727593720314938,1e-06,10.185000136004287
177,1e-06,4.641588833612773e-06,0.0003727593720314938,2.6826957952797274e-06,10.1243343160541
178,1e-06,4.641588833612773e-06,0.0003727593720314938,7.196856730011514e-06,10.019906064521539
179,1e-06,4.641588833612773e-06,0.0003727593720314938,1.9306977288832496e-05,9.89788781145241
180,1e-06,4.641588833612773e-06,0.0003727593720314938,5.1794746792312125e-05,9.79595291702709
181,1e-06,4.641588833612773e-06,0.0003727593720314938,0.00013894954943731373,9.763934754627687
182,1e-06,4.641588833612773e-06,0.0003727593720314938,0.0003727593720314938,9.963464062667072
183,1e-06,4.641588833612773e-06,0.0003727593720314938,0.001,10.68985948558593
184,1e-06,4.641588833612773e-06,0.001,1e-06,17.76587635086596
185,1e-06,4.641588833612773e-06,0.001,2.6826957952797274e-06,17.733788171996267
186,1e-06,4.641588833612773e-06,0.001,7.196856730011514e-06,17.66539992420575
187,1e-06,4.641588833612773e-06,0.001,1.9306977288832496e-05,17.543849094943926
188,1e-06,4.641588833612773e-06,0.001,5.1794746792312125e-05,17.38740210840722
189,1e-06,4.641588833612773e-06,0.001,0.00013894954943731373,17.28933179011424
190,1e-06,4.641588833612773e-06,0.001,0.0003727593720314938,17.46273020235957
191,1e-06,4.641588833612773e-06,0.001,0.001,18.240193301289242
192,1e-06,0.0001,1e-06,1e-06,17.216651226545704
193,1e-06,0.0001,1e-06,2.6826957952797274e-06,17.198675531001047
194,1e-06,0.0001,1e-06,7.196856730011514e-06,17.14813884953465
195,1e-06,0.0001,1e-06,1.9306977288832496e-05,17.053190025741678
196,1e-06,0.0001,1e-06,5.1794746792312125e-05,16.948684895078838
197,1e-06,0.0001,1e-06,0.00013894954943731373,17.513270894028025
198,1e-06,0.0001,1e-06,0.0003727593720314938,20.40090059815354
199,1e-06,0.0001,1e-06,0.001,28.11563502556526
200,1e-06,0.0001,2.6826957952797274e-06,1e-06,14.530755562968919
201,1e-06,0.0001,2.6826957952797274e-06,2.6826957952797274e-06,14.526757327251762
202,1e-06,0.0001,2.6826957952797274e-06,7.196856730011514e-06,14.51211465534658
203,1e-06,0.0001,2.6826957952797274e-06,1.9306977288832496e-05,14.502682260333561
204,1e-06,0.0001,2.6826957952797274e-06,5.1794746792312125e-05,14.534898104810932
205,1e-06,0.0001,2.6826957952797274e-06,0.00013894954943731373,15.179314630898695
206,1e-06,0.0001,2.6826957952797274e-06,0.0003727593720314938,17.84934831115111
207,1e-06,0.0001,2.6826957952797274e-06,0.001,24.502378659890514
208,1e-06,0.0001,7.196856730011514e-06,1e-06,11.652993964010745
209,1e-06,0.0001,7.196856730011514e-06,2.6826957952797274e-06,11.649446800690162
210,1e-06,0.0001,7.196856730011514e-06,7.196856730011514e-06,11.651024547250561
211,1e-06,0.0001,7.196856730011514e-06,1.9306977288832496e-05,11.665527303614809
212,1e-06,0.0001,7.196856730011514e-06,5.1794746792312125e-05,11.776704248656358
213,1e-06,0.0001,7.196856730011514e-06,0.00013894954943731373,12.343079175260943
214,1e-06,0.0001,7.196856730011514e-06,0.0003727593720314938,14.350017921451137
215,1e-06,0.0001,7.196856730011514e-06,0.001,19.390323246935466
216,1e-06,0.0001,1.9306977288832496e-05,1e-06,9.599925198006837
217,1e-06,0.0001,1.9306977288832496e-05,2.6826957952797274e-06,9.603253773785278
218,1e-06,0.0001,1.9306977288832496e-05,7.196856730011514e-06,9.607209096503219
219,1e-06,0.0001,1.9306977288832496e-05,1.9306977288832496e-05,9.624436034955632
220,1e-06,0.0001,1.9306977288832496e-05,5.1794746792312125e-05,9.71276506816167
221,1e-06,0.0001,1.9306977288832496e-05,0.00013894954943731373,10.101388205832462
222,1e-06,0.0001,1.9306977288832496e-05,0.0003727593720314938,11.34338788835112
223,1e-06,0.0001,1.9306977288832496e-05,0.001,14.450867737470332
224,1e-06,0.0001,5.1794746792312125e-05,1e-06,8.744456045468961
225,1e-06,0.0001,5.1794746792312125e-05,2.6826957952797274e-06,8.74657478921111
226,1e-06,0.0001,5.1794746792312125e-05,7.196856730011514e-06,8.757409576645056
227,1e-06,0.0001,5.1794746792312125e-05,1.9306977288832496e-05,8.787771772077084
228,1e-06,0.0001,5.1794746792312125e-05,5.1794746792312125e-05,8.87157680622342
229,1e-06,0.0001,5.1794746792312125e-05,0.00013894954943731373,9.095689274662764
230,1e-06,0.0001,5.1794746792312125e-05,0.0003727593720314938,9.73775020711445
231,1e-06,0.0001,5.1794746792312125e-05,0.001,11.382240089761071
232,1e-06,0.0001,0.00013894954943731373,1e-06,8.385340970310043
233,1e-06,0.0001,0.00013894954943731373,2.6826957952797274e-06,8.388845464001072
234,1e-06,0.0001,0.00013894954943731373,7.196856730011514e-06,8.397507909149407
235,1e-06,0.0001,0.00013894954943731373,1.9306977288832496e-05,8.422209622215805
236,1e-06,0.0001,0.00013894954943731373,5.1794746792312125e-05,8.48203442738011
237,1e-06,0.0001,0.00013894954943731373,0.00013894954943731373,8.632501017600067
238,1e-06,0.0001,0.00013894954943731373,0.0003727593720314938,9.03124079042647
239,1e-06,0.0001,0.00013894954943731373,0.001,10.015427309421558
240,1e-06,0.0001,0.0003727593720314938,1e-06,9.251718152126742
241,1e-06,0.0001,0.0003727593720314938,2.6826957952797274e-06,9.254342658510163
242,1e-06,0.0001,0.0003727593720314938,7.196856730011514e-06,9.262316308511991
243,1e-06,0.0001,0.0003727593720314938,1.9306977288832496e-05,9.2837780722576
244,1e-06,0.0001,0.0003727593720314938,5.1794746792312125e-05,9.335452569851157
245,1e-06,0.0001,0.0003727593720314938,0.00013894954943731373,9.460804971860071
246,1e-06,0.0001,0.0003727593720314938,0.0003727593720314938,9.791146062730041
247,1e-06,0.0001,0.0003727593720314938,0.001,10.58852782734107
248,1e-06,0.0001,0.001,1e-06,16.948078876764512
249,1e-06,0.0001,0.001,2.6826957952797274e-06,16.946722506234476
250,1e-06,0.0001,0.001,7.196856730011514e-06,16.943792932435557
251,1e-06,0.0001,0.001,1.9306977288832496e-05,16.94214865566633
252,1e-06,0.0001,0.001,5.1794746792312125e-05,16.960998525680402
253,1e-06,0.0001,0.001,0.00013894954943731373,17.065496968953898
254,1e-06,0.0001,0.001,0.0003727593720314938,17.4020596380953
255,1e-06,0.0001,0.001,0.001,18.25539667695992
256,2.6826957952797274e-06,1e-08,1e-06,1e-06,67.7846833343441
257,2.6826957952797274e-06,1e-08,1e-06,2.6826957952797274e-06,56.94569928207215
